,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40
0,sale,cloud,habit,metaverses,telecommunication,mixed,innovation,home,biological,contain,instant,evolve,culture,frame,synthetic,chinese,server,exchange,engine,preference,response,specify,museum,recommendation,display,essay,end,widespread,search,st,public,cyberspace,metadata,com,art,deployment,designer,team,ethic,museum
1,generic,construction,transaction,store,device,post,organizational,automation,post,proceeding,protocol,k,component,enhancement,repository,message,architecture,cyber,search,frame,distribute,manipulate,moral,storage,awareness,currency,signal,display,server,opensimulator,natural,institute,architecture,secondlife,layer,mobile,innovation,metaverses,argument,asynchronous
2,peer,speed,facet,detail,attempt,display,adoption,device,step,multimedia,element,metaverses,organizational,c,reproduction,force,ubiquitous,culture,region,mode,server,component,visit,struggle,twitter,write,diverse,art,rely,moderate,agent,manipulate,culture,capability,film,frame,generic,capability,always,exhibit
3,traffic,g,provider,depend,culture,emerald,product,animation,trend,th,interoperability,little,orient,property,creative,prototype,environmental,background,sign,tag,electronic,viewpoint,universal,communicative,path,generation,com,obstacle,agent,usually,hierarchical,today,organizational,architecture,contemporary,local,respect,st,enhancement,chat
4,measurement,european,expect,availability,acquisition,cohort,cite,server,towards,national,microsoft,film,heritage,interpret,currency,instant,peer,cyberspace,kong,link,long,code,principle,conventional,device,frame,institution,organize,discover,traditionally,try,voice,capability,c,artistic,tech,principle,investigation,desire,ict
5,google,heritage,trust,awareness,ideal,synchronous,element,consumer,art,spread,image,muves,c,cloud,heidelberg,variety,realism,kind,hong,agency,recommendation,modeling,detection,opinion,camera,act,background,code,effectively,expect,relatively,link,usability,transformative,transfer,distinguish,agency,empirical,ethical,schedule
6,server,paradigm,currency,dedicate,anywhere,p,culture,privacy,industry,generation,mapping,team,element,enterprise,berlin,utilization,refers,widely,animation,synchronous,client,interoperability,demonstration,almost,visualization,biological,flow,deployment,p,art,coherent,multimedia,detail,measure,story,conference,ethic,agent,reason,synchronous
7,earth,safety,currently,typology,deal,investigates,go,realistic,bring,cloud,ict,rise,metaphor,meta,specify,technological,architectural,consist,perform,selection,expect,server,animate,interpretation,sensor,used,optimal,crowd,database,v,usually,experimental,serious,improvement,yet,continue,agent,power,come,end
8,volume,centric,care,public,home,transfer,little,protocol,late,evolution,coordination,culture,prototype,format,art,standard,experimental,intercultural,matrix,text,low,write,story,execution,hand,summarize,land,foundation,behavioral,person,know,site,integration,story,j,automatic,meta,iadis,culturally,whole
9,relatively,perhaps,functionality,earth,potentially,tend,sale,around,phenomenon,trust,v,capability,meaning,prototyping,verlag,write,client,grow,private,component,side,opensim,camera,widely,proceeding,cognitive,exploration,advance,private,cross,put,disability,natural,tell,discourse,popularity,license,outcomes,technologically,exploit
